iter	Logloss
0	0.6663708025
1	0.6438915081
2	0.6202448946
3	0.6015449899
4	0.5865515875
5	0.5712821355
6	0.5578996367
7	0.5455645316
8	0.5346281086
9	0.5271642866
10	0.5171443727
11	0.5122303681
12	0.5044843038
13	0.4986507804
14	0.493129831
15	0.4875037858
16	0.4829187128
17	0.4776447537
18	0.4731333867
19	0.4682405588
20	0.4643362965
21	0.460474349
22	0.4566592322
23	0.4543478168
24	0.4510713973
25	0.4478600531
26	0.4453897229
27	0.4431702571
28	0.4413210029
29	0.4403091831
30	0.4385132041
31	0.4359956235
32	0.4346335457
33	0.4326021558
34	0.4310515646
35	0.4308864618
36	0.4294474266
37	0.4285235188
38	0.4282966145
39	0.4270465217
40	0.4260970271
41	0.424666149
42	0.4222497367
43	0.4212943673
44	0.420081618
45	0.4190998835
46	0.4181311497
47	0.4167226332
48	0.4154255534
49	0.414623659
50	0.4137127432
51	0.412567896
52	0.4116640274
53	0.4101129193
54	0.4094035917
55	0.4093085171
56	0.4084288735
57	0.4079658104
58	0.4074277723
59	0.4067316156
60	0.4055632327
61	0.4047191456
62	0.4041366907
63	0.4032728682
64	0.4019656563
65	0.4016440241
66	0.4005195285
67	0.3997535238
68	0.3989484783
69	0.3988919447
70	0.3979337889
71	0.3971515693
72	0.3965687044
73	0.3952529112
74	0.3948195651
75	0.3943381672
76	0.3939962617
77	0.3932337182
78	0.3925143046
79	0.3921800067
80	0.3917016272
81	0.3908599971
82	0.3906070332
83	0.3905522159
84	0.3902837145
85	0.3897182261
86	0.3892686385
87	0.3890858263
88	0.388686081
89	0.3880151448
90	0.3875935317
91	0.3874773435
92	0.3866563395
93	0.3861438635
94	0.3855775312
95	0.3844883212
96	0.3840453745
97	0.3833274903
98	0.3831681315
99	0.3828174716
100	0.3821048579
101	0.3817807561
102	0.3812642468
