iter	Passed	Remaining
0	6	647
1	10	525
2	14	491
3	22	547
4	26	527
5	30	490
6	33	460
7	37	439
8	40	423
9	42	391
10	46	386
11	49	376
12	53	370
13	57	363
14	61	361
15	65	356
16	69	350
17	72	343
18	76	338
19	79	331
20	82	321
21	85	315
22	89	311
23	93	306
24	96	301
25	100	298
26	104	293
27	107	289
28	111	284
29	113	275
30	116	270
31	120	266
32	124	263
33	127	259
34	131	255
35	132	246
36	136	242
37	139	238
38	140	230
39	144	227
40	148	224
41	151	220
42	155	216
43	159	213
44	162	209
45	166	205
46	169	201
47	173	198
48	176	194
49	180	191
50	184	187
51	187	184
52	191	180
53	195	177
54	198	173
55	199	167
56	202	163
57	205	159
58	209	156
59	213	152
60	217	149
61	220	146
62	224	142
63	228	139
64	231	135
65	235	131
66	239	128
67	242	124
68	246	121
69	247	116
70	251	113
71	255	109
72	258	106
73	262	102
74	266	99
75	269	95
76	273	92
77	277	88
78	280	85
79	282	81
80	286	77
81	289	74
82	293	70
83	294	66
84	295	62
85	299	59
86	302	55
87	304	51
88	307	48
89	311	44
90	315	41
91	316	37
92	320	34
93	324	31
94	327	27
95	331	24
96	335	20
97	338	17
98	342	13
99	346	10
100	349	6
101	353	3
102	357	0
